,d1,d1s,d2,d2s,f1,f1s,f2,f2s,f3,f3s,t1,t1s,r1,r1s,cd1,cd1s,cd2,cd2s,cf1,cf1s,cf2,cf2s,cf3,cf3s,ct1,ct1s,cr1,cr1s
89,7,1,13,4,2,4,11,3,1,3,12,4,3,2,7,1,13,4,2,4,11,3,1,3,12,4,3,2
90,1,2,1,1,10,3,12,1,13,4,3,4,9,3,1,2,1,1,10,3,12,1,13,4,3,4,9,3
91,13,4,11,1,13,2,1,3,8,3,13,2,2,2,13,4,11,1,13,2,1,3,8,3,13,2,2,2
92,6,1,1,2,11,4,9,4,5,1,3,2,6,2,6,1,1,2,11,4,9,4,5,1,3,2,6,2
93,6,4,7,2,10,3,2,3,11,2,8,1,11,4,6,4,7,2,10,3,2,3,11,2,8,1,11,4
94,9,2,8,1,5,4,2,3,5,4,2,3,4,3,9,2,8,1,5,4,2,3,5,4,2,3,4,3
95,2,3,10,3,13,4,5,2,5,1,1,2,2,2,2,3,10,3,13,4,5,2,5,1,1,2,2,2
96,10,2,12,2,1,1,1,1,2,4,6,4,13,3,10,2,12,2,1,1,1,1,2,4,6,4,13,3
97,3,4,12,1,9,4,5,3,4,2,8,3,2,3,3,4,12,1,9,4,5,3,4,2,8,3,2,3
98,9,3,5,2,9,3,7,3,7,4,12,4,1,3,9,3,5,2,9,3,7,3,7,4,12,4,1,3
99,8,1,2,1,11,2,6,2,7,1,1,3,3,1,8,1,2,1,11,2,6,2,7,1,1,3,3,1
100,3,1,3,4,10,2,1,4,2,3,10,1,9,3,3,1,3,4,10,2,1,4,2,3,10,1,9,3
101,2,1,6,4,8,4,1,2,3,1,6,3,3,2,2,1,6,4,8,4,1,2,3,1,6,3,3,2
102,11,3,8,4,5,1,9,4,13,4,10,4,6,3,11,3,8,4,5,1,9,4,13,4,10,4,6,3
103,4,3,11,1,2,3,7,2,7,4,10,4,3,4,4,3,11,1,2,3,7,2,7,4,10,4,3,4
104,11,2,13,4,8,4,11,4,12,2,6,3,11,4,11,2,13,4,8,4,11,4,12,2,6,3,11,4
105,4,1,1,2,9,2,6,3,11,3,7,3,1,2,4,1,1,2,9,2,6,3,11,3,7,3,1,2
106,5,1,13,4,3,2,13,2,13,1,10,2,8,1,5,1,13,4,3,2,13,2,13,1,10,2,8,1
107,1,4,1,3,7,1,8,3,2,3,6,4,6,4,1,4,1,3,7,1,8,3,2,3,6,4,6,4
108,13,3,11,2,2,1,1,4,3,4,4,3,8,3,13,3,11,2,2,1,1,4,3,4,4,3,8,3
109,1,4,1,4,11,4,10,4,6,4,5,1,3,2,1,4,1,4,11,4,10,4,6,4,5,1,3,2
110,11,2,2,2,8,2,8,1,11,2,12,3,3,3,11,2,2,2,8,2,8,1,11,2,12,3,3,3
111,11,1,12,3,6,3,11,2,8,4,4,3,13,2,11,1,12,3,6,3,11,2,8,4,4,3,13,2
112,8,4,13,3,4,4,6,3,7,2,6,4,10,1,8,4,13,3,4,4,6,3,7,2,6,4,10,1
113,13,3,4,2,6,1,9,1,1,4,1,3,8,3,13,3,4,2,6,1,9,1,1,4,1,3,8,3
114,9,4,3,3,12,2,4,2,8,2,12,1,12,3,9,4,3,3,12,2,4,2,8,2,12,1,12,3
115,5,1,3,1,7,1,4,1,6,3,13,3,11,1,5,1,3,1,7,1,4,1,6,3,13,3,11,1
116,8,1,6,3,1,4,5,1,4,4,4,3,7,3,8,1,6,3,1,4,5,1,4,4,4,3,7,3
117,5,3,4,1,6,4,8,1,7,2,11,1,4,3,5,3,4,1,6,4,8,1,7,2,11,1,4,3
118,12,3,8,4,9,3,2,3,1,3,8,1,13,3,12,3,8,4,9,3,2,3,1,3,8,1,13,3
119,8,4,10,1,13,2,10,3,13,3,5,3,13,1,8,4,10,1,13,2,10,3,13,3,5,3,13,1
120,3,4,12,3,10,3,6,3,4,1,4,2,8,1,3,4,12,3,10,3,6,3,4,1,4,2,8,1
121,7,1,7,1,11,1,5,3,12,1,13,1,7,1,7,1,7,1,11,1,5,3,12,1,13,1,7,1
122,12,4,4,4,4,1,4,3,12,1,12,1,12,2,12,4,4,4,4,1,4,3,12,1,12,1,12,2
123,2,4,1,1,2,2,1,3,12,2,10,2,12,1,2,4,1,1,2,2,1,3,12,2,10,2,12,1
124,6,3,6,2,12,2,13,2,7,4,2,4,5,1,6,3,6,2,12,2,13,2,7,4,2,4,5,1
125,4,2,7,3,10,3,6,4,2,4,2,1,11,2,4,2,7,3,10,3,6,4,2,4,2,1,11,2
126,11,4,5,3,4,3,2,4,9,3,2,3,13,4,11,4,5,3,4,3,2,4,9,3,2,3,13,4
127,10,3,10,2,3,3,3,4,9,2,13,1,6,4,10,3,10,2,3,3,3,4,9,2,13,1,6,4
128,3,3,2,3,7,1,12,1,3,2,6,1,6,2,3,3,2,3,7,1,12,1,3,2,6,1,6,2
129,8,2,13,3,1,3,3,4,6,4,6,3,7,4,8,2,13,3,1,3,3,4,6,4,6,3,7,4
130,3,3,10,3,8,1,3,4,13,3,5,2,5,2,3,3,10,3,8,1,3,4,13,3,5,2,5,2
131,3,4,7,1,6,3,11,1,6,4,3,3,12,2,3,4,7,1,6,3,11,1,6,4,3,3,12,2
132,6,2,12,3,7,3,5,1,5,1,11,3,1,3,6,2,12,3,7,3,5,1,5,1,11,3,1,3
133,10,4,10,2,9,2,13,1,13,2,7,1,2,3,10,4,10,2,9,2,13,1,13,2,7,1,2,3
134,11,1,13,1,7,3,12,2,2,1,2,1,3,2,11,1,13,1,7,3,12,2,2,1,2,1,3,2
135,13,3,4,3,11,1,3,4,3,4,12,3,6,1,13,3,4,3,11,1,3,4,3,4,12,3,6,1
136,11,3,7,4,11,4,1,2,5,3,11,2,7,3,11,3,7,4,11,4,1,2,5,3,11,2,7,3
137,7,2,8,2,12,2,6,2,10,2,3,4,3,1,7,2,8,2,12,2,6,2,10,2,3,4,3,1
138,9,4,3,1,6,2,7,2,13,2,3,1,8,4,9,4,3,1,6,2,7,2,13,2,3,1,8,4
139,9,1,11,4,7,4,2,2,6,4,2,1,8,2,9,1,11,4,7,4,2,2,6,4,2,1,8,2
140,12,4,13,4,10,2,3,1,8,2,3,4,12,3,12,4,13,4,10,2,3,1,8,2,3,4,12,3
141,10,2,3,3,12,2,9,1,11,2,5,3,8,3,10,2,3,3,12,2,9,1,11,2,5,3,8,3
142,7,4,2,1,2,3,2,4,13,4,10,2,1,4,7,4,2,1,2,3,2,4,13,4,10,2,1,4
143,8,2,7,1,5,2,9,3,10,4,11,2,13,2,8,2,7,1,5,2,9,3,10,4,11,2,13,2
144,10,1,13,1,6,4,9,1,7,1,8,2,8,2,10,1,13,1,6,4,9,1,7,1,8,2,8,2
145,11,4,2,3,4,1,3,3,4,4,5,3,9,2,11,4,2,3,4,1,3,3,4,4,5,3,9,2
146,11,1,8,1,13,2,11,3,5,1,4,3,13,2,11,1,8,1,13,2,11,3,5,1,4,3,13,2
147,10,2,13,3,10,2,6,2,11,1,10,3,5,4,10,2,13,3,10,2,6,2,11,1,10,3,5,4
148,1,2,13,3,3,3,6,3,10,3,7,3,6,4,1,2,13,3,3,3,6,3,10,3,7,3,6,4
149,12,1,8,2,2,1,6,2,6,2,3,2,7,1,12,1,8,2,2,1,6,2,6,2,3,2,7,1
150,12,1,8,4,11,3,10,2,9,1,1,2,6,4,12,1,8,4,11,3,10,2,9,1,1,2,6,4
151,9,4,1,4,4,1,12,3,5,4,2,4,3,1,9,4,1,4,4,1,12,3,5,4,2,4,3,1
152,2,1,9,1,9,3,7,4,11,3,10,2,4,3,2,1,9,1,9,3,7,4,11,3,10,2,4,3
153,3,2,7,4,2,4,1,3,1,3,3,4,7,3,3,2,7,4,2,4,1,3,1,3,3,4,7,3
154,8,1,3,2,3,3,13,3,8,2,10,2,3,4,8,1,3,2,3,3,13,3,8,2,10,2,3,4
155,11,2,7,3,2,3,6,2,10,1,5,1,2,1,11,2,7,3,2,3,6,2,10,1,5,1,2,1
156,1,4,9,3,10,2,13,3,12,3,6,1,7,1,1,4,9,3,10,2,13,3,12,3,6,1,7,1
157,2,3,1,3,13,4,12,4,8,1,6,2,8,3,2,3,1,3,13,4,12,4,8,1,6,2,8,3
158,13,4,13,1,7,1,4,3,11,1,5,3,9,4,13,4,13,1,7,1,4,3,11,1,5,3,9,4
159,12,3,3,1,13,3,9,4,13,4,9,3,8,3,12,3,3,1,13,3,9,4,13,4,9,3,8,3
160,5,2,13,3,13,1,5,3,1,1,4,4,3,2,5,2,13,3,13,1,5,3,1,1,4,4,3,2
161,4,1,11,1,3,1,8,1,1,2,7,3,7,3,4,1,11,1,3,1,8,1,1,2,7,3,7,3
162,5,2,8,2,7,3,3,2,11,1,5,1,8,2,5,2,8,2,7,3,3,2,11,1,5,1,8,2
163,2,4,11,3,1,2,3,3,3,3,6,1,8,2,2,4,11,3,1,2,3,3,3,3,6,1,8,2
164,3,2,12,2,1,1,2,3,13,3,9,3,9,3,3,2,12,2,1,1,2,3,13,3,9,3,9,3
165,6,4,6,3,8,3,3,2,13,1,13,1,10,3,6,4,6,3,8,3,3,2,13,1,13,1,10,3
166,3,4,13,4,11,1,10,2,1,1,12,1,3,3,3,4,13,4,11,1,10,2,1,1,12,1,3,3
167,13,4,9,3,11,4,9,3,8,1,5,1,11,4,13,4,9,3,11,4,9,3,8,1,5,1,11,4
168,13,4,12,4,2,4,11,3,10,4,4,2,11,1,13,4,12,4,2,4,11,3,10,4,4,2,11,1
169,7,3,4,3,4,4,7,2,3,3,3,1,11,4,7,3,4,3,4,4,7,2,3,3,3,1,11,4
170,8,3,7,1,4,3,1,1,11,3,1,4,8,4,8,3,7,1,4,3,1,1,11,3,1,4,8,4
171,8,1,13,4,2,3,9,2,10,4,9,2,2,3,8,1,13,4,2,3,9,2,10,4,9,2,2,3
172,4,1,6,2,7,2,10,3,1,2,13,1,11,3,4,1,6,2,7,2,10,3,1,2,13,1,11,3
173,12,1,1,3,4,3,9,1,6,2,6,1,11,1,12,1,1,3,4,3,9,1,6,2,6,1,11,1
174,1,3,12,4,12,3,9,2,8,1,7,2,7,2,1,3,12,4,12,3,9,2,8,1,7,2,7,2
175,12,2,11,3,4,2,9,2,7,1,8,2,9,2,12,2,11,3,4,2,9,2,7,1,8,2,9,2
176,3,3,1,3,5,1,10,2,11,1,2,1,5,1,3,3,1,3,5,1,10,2,11,1,2,1,5,1
177,10,1,9,1,8,4,12,4,9,1,11,3,1,2,10,1,9,1,8,4,12,4,9,1,11,3,1,2
178,3,2,13,4,1,4,11,2,8,4,12,3,10,3,3,2,13,4,1,4,11,2,8,4,12,3,10,3
179,6,4,10,1,8,4,6,2,8,4,3,4,2,4,6,4,10,1,8,4,6,2,8,4,3,4,2,4
180,9,3,2,3,13,2,8,2,10,4,7,3,9,4,9,3,2,3,13,2,8,2,10,4,7,3,9,4
181,3,3,13,4,10,1,2,4,13,1,7,3,10,1,3,3,13,4,10,1,2,4,13,1,7,3,10,1
182,4,4,6,4,5,3,8,1,10,4,7,1,2,1,4,4,6,4,5,3,8,1,10,4,7,1,2,1
183,8,1,12,4,3,3,6,3,2,1,4,1,11,2,8,1,12,4,3,3,6,3,2,1,4,1,11,2
184,8,4,2,1,8,3,8,2,7,3,3,1,3,1,8,4,2,1,8,3,8,2,7,3,3,1,3,1
185,1,3,3,2,6,2,13,4,13,4,8,4,1,1,1,3,3,2,6,2,13,4,13,4,8,4,1,1
186,5,4,3,2,7,2,13,3,9,2,11,2,10,3,5,4,3,2,7,2,13,3,9,2,11,2,10,3
187,10,1,1,2,11,4,1,2,1,2,11,3,9,1,10,1,1,2,11,4,1,2,1,2,11,3,9,1
188,1,2,6,2,7,2,11,1,12,4,8,1,8,1,1,2,6,2,7,2,11,1,12,4,8,1,8,1
189,3,2,13,2,13,2,10,4,11,4,3,2,5,4,3,2,13,2,13,2,10,4,11,4,3,2,5,4
190,7,2,1,4,1,4,13,2,8,1,6,1,2,4,7,2,1,4,1,4,13,2,8,1,6,1,2,4
191,2,4,5,4,4,4,12,4,6,4,5,1,6,3,2,4,5,4,4,4,12,4,6,4,5,1,6,3
192,9,1,5,4,10,2,11,1,6,1,12,4,6,3,9,1,5,4,10,2,11,1,6,1,12,4,6,3
193,5,3,4,4,7,4,6,4,11,3,12,4,13,2,5,3,4,4,7,4,6,4,11,3,12,4,13,2
194,7,2,12,2,13,1,3,4,6,2,6,4,8,2,7,2,12,2,13,1,3,4,6,2,6,4,8,2
195,1,4,7,4,10,2,10,1,1,4,12,3,9,3,1,4,7,4,10,2,10,1,1,4,12,3,9,3
196,2,2,7,3,3,1,12,1,4,2,13,2,10,1,2,2,7,3,3,1,12,1,4,2,13,2,10,1
197,6,3,5,4,10,3,13,1,13,2,13,3,3,2,6,3,5,4,10,3,13,1,13,2,13,3,3,2
198,10,1,3,3,10,4,3,2,10,1,6,4,11,2,10,1,3,3,10,4,3,2,10,1,6,4,11,2
199,4,1,9,3,13,3,3,2,4,2,7,4,8,3,4,1,9,3,13,3,3,2,4,2,7,4,8,3
200,8,2,13,1,1,1,10,3,6,2,5,2,12,3,8,2,13,1,1,1,10,3,6,2,5,2,12,3
201,6,3,4,4,8,3,9,1,1,3,9,3,8,2,6,3,4,4,8,3,9,1,1,3,9,3,8,2
202,10,2,12,3,2,3,2,2,6,4,10,2,9,3,10,2,12,3,2,3,2,2,6,4,10,2,9,3
203,2,3,6,3,12,4,11,4,3,1,1,3,2,1,2,3,6,3,12,4,11,4,3,1,1,3,2,1
204,3,1,1,1,9,1,10,4,12,4,13,4,9,3,3,1,1,1,9,1,10,4,12,4,13,4,9,3
205,9,1,13,2,7,1,2,1,5,2,8,2,7,3,9,1,13,2,7,1,2,1,5,2,8,2,7,3
206,10,2,3,1,10,3,8,4,11,3,2,1,8,1,10,2,3,1,10,3,8,4,11,3,2,1,8,1
207,6,4,7,2,6,1,10,1,2,2,7,4,9,4,6,4,7,2,6,1,10,1,2,2,7,4,9,4
208,1,1,3,4,3,2,13,1,7,2,6,4,1,1,1,1,3,4,3,2,13,1,7,2,6,4,1,1
209,9,4,9,1,8,3,3,4,12,2,1,2,5,1,9,4,9,1,8,3,3,4,12,2,1,2,5,1
210,11,4,8,1,7,4,12,2,7,1,10,1,12,4,11,4,8,1,7,4,12,2,7,1,10,1,12,4
211,8,2,3,4,1,3,7,1,11,2,4,2,4,2,8,2,3,4,1,3,7,1,11,2,4,2,4,2
212,13,3,13,1,13,4,13,3,6,2,3,4,1,2,13,3,13,1,13,4,13,3,6,2,3,4,1,2
213,9,4,4,4,2,2,13,1,5,3,10,3,1,4,9,4,4,4,2,2,13,1,5,3,10,3,1,4
214,9,1,7,2,3,2,4,1,9,1,5,1,7,2,9,1,7,2,3,2,4,1,9,1,5,1,7,2
215,8,2,12,2,6,2,4,2,12,4,3,2,10,3,8,2,12,2,6,2,4,2,12,4,3,2,10,3
216,12,1,6,1,10,2,4,4,12,2,10,2,12,1,12,1,6,1,10,2,4,4,12,2,10,2,12,1
217,6,3,11,2,11,1,4,2,9,2,8,3,1,2,6,3,11,2,11,1,4,2,9,2,8,3,1,2
218,9,1,12,3,11,1,11,3,13,4,12,2,13,3,9,1,12,3,11,1,11,3,13,4,12,2,13,3
219,3,3,1,4,10,2,2,1,5,2,1,2,1,3,3,3,1,4,10,2,2,1,5,2,1,2,1,3
220,3,1,13,1,11,2,1,3,6,4,4,3,2,4,3,1,13,1,11,2,1,3,6,4,4,3,2,4
221,1,1,12,2,3,1,7,1,4,1,3,3,10,1,1,1,12,2,3,1,7,1,4,1,3,3,10,1
222,12,4,3,2,13,1,12,3,2,3,6,4,7,1,12,4,3,2,13,1,12,3,2,3,6,4,7,1
223,5,4,13,1,11,3,8,2,3,3,12,2,6,1,5,4,13,1,11,3,8,2,3,3,12,2,6,1
224,9,1,13,4,6,2,4,3,5,3,13,3,11,3,9,1,13,4,6,2,4,3,5,3,13,3,11,3
225,1,2,9,1,7,3,9,1,2,2,12,2,5,4,1,2,9,1,7,3,9,1,2,2,12,2,5,4
226,8,3,6,4,3,3,6,4,8,1,13,1,4,4,8,3,6,4,3,3,6,4,8,1,13,1,4,4
227,7,4,5,2,3,4,10,3,2,3,12,3,3,4,7,4,5,2,3,4,10,3,2,3,12,3,3,4
228,7,3,11,1,2,3,7,1,6,2,6,3,5,4,7,3,11,1,2,3,7,1,6,2,6,3,5,4
229,2,2,6,1,13,3,10,4,5,4,5,3,9,1,2,2,6,1,13,3,10,4,5,4,5,3,9,1
230,3,1,13,3,1,1,4,1,9,4,7,2,5,4,3,1,13,3,1,1,4,1,9,4,7,2,5,4
231,5,4,2,3,6,4,11,1,8,1,13,3,10,1,5,4,2,3,6,4,11,1,8,1,13,3,10,1
232,6,2,10,3,4,4,1,1,10,2,12,3,3,3,6,2,10,3,4,4,1,1,10,2,12,3,3,3
233,10,4,13,1,9,3,13,2,10,4,4,2,4,1,10,4,13,1,9,3,13,2,10,4,4,2,4,1
234,4,1,9,4,8,4,5,1,2,3,2,4,9,4,4,1,9,4,8,4,5,1,2,3,2,4,9,4
235,3,3,6,2,9,4,4,2,2,3,7,2,9,3,3,3,6,2,9,4,4,2,2,3,7,2,9,3
236,7,3,6,4,9,1,4,3,1,1,3,4,13,4,7,3,6,4,9,1,4,3,1,1,3,4,13,4
