,rank1,suit1,rank2,suit2,rank3,suit3,rank4,suit4,rank5,suit5,rank6,suit6,rank7,suit7,class,win
38,8,clubs,1,hearts,7,spades,6,hearts,13,hearts,3,diamonds,4,clubs,0,-1
39,4,diamonds,13,spades,7,spades,6,hearts,13,hearts,3,diamonds,4,clubs,2,1
40,12,clubs,10,hearts,2,hearts,1,hearts,8,clubs,5,hearts,10,hearts,5,1
41,10,hearts,8,diamonds,2,hearts,1,hearts,8,clubs,5,hearts,10,hearts,5,-1
42,10,diamonds,6,clubs,1,spades,10,spades,9,clubs,3,spades,12,hearts,1,1
43,1,diamonds,13,clubs,1,spades,10,spades,9,clubs,3,spades,12,hearts,1,-1
44,2,clubs,13,hearts,6,hearts,11,diamonds,5,spades,4,diamonds,13,hearts,1,1
45,8,clubs,3,spades,6,hearts,11,diamonds,5,spades,4,diamonds,13,hearts,0,-1
46,5,clubs,6,diamonds,6,spades,1,clubs,10,clubs,13,clubs,9,clubs,5,1
47,2,spades,9,hearts,6,spades,1,clubs,10,clubs,13,clubs,9,clubs,1,-1
48,4,spades,6,clubs,7,diamonds,3,hearts,2,diamonds,13,spades,5,diamonds,0,-1
49,12,clubs,7,spades,7,diamonds,3,hearts,2,diamonds,13,spades,5,diamonds,1,1
50,4,spades,4,diamonds,12,diamonds,6,spades,12,hearts,13,diamonds,2,hearts,2,1
51,11,spades,13,spades,12,diamonds,6,spades,12,hearts,13,diamonds,2,hearts,2,-1
52,12,diamonds,3,clubs,12,diamonds,10,diamonds,12,hearts,3,hearts,13,diamonds,6,1
53,13,clubs,13,spades,12,diamonds,10,diamonds,12,hearts,3,hearts,13,diamonds,6,-1
54,13,clubs,9,hearts,4,diamonds,7,clubs,9,diamonds,3,clubs,13,clubs,2,1
55,8,diamonds,5,spades,4,diamonds,7,clubs,9,diamonds,3,clubs,13,clubs,0,-1
56,6,hearts,5,clubs,13,hearts,1,clubs,13,diamonds,8,clubs,10,hearts,1,-1
57,13,hearts,2,clubs,13,hearts,1,clubs,13,diamonds,8,clubs,10,hearts,3,1
58,10,diamonds,5,clubs,9,hearts,13,spades,4,diamonds,6,hearts,8,clubs,0,-1
59,1,hearts,8,diamonds,9,hearts,13,spades,4,diamonds,6,hearts,8,clubs,1,1
60,2,clubs,8,hearts,11,diamonds,12,clubs,10,diamonds,11,hearts,4,diamonds,1,1
61,6,hearts,9,clubs,11,diamonds,12,clubs,10,diamonds,11,hearts,4,diamonds,1,-1
62,1,clubs,3,clubs,12,diamonds,9,spades,11,diamonds,11,diamonds,1,hearts,2,1
63,8,diamonds,7,spades,12,diamonds,9,spades,11,diamonds,11,diamonds,1,hearts,1,-1
64,11,diamonds,7,clubs,5,clubs,1,spades,10,clubs,5,hearts,2,spades,1,1
65,13,spades,11,hearts,5,clubs,1,spades,10,clubs,5,hearts,2,spades,1,-1
66,1,clubs,3,spades,3,spades,4,diamonds,4,spades,8,clubs,11,spades,2,1
67,5,spades,2,hearts,3,spades,4,diamonds,4,spades,8,clubs,11,spades,1,-1
68,7,clubs,10,spades,12,hearts,1,hearts,2,spades,11,hearts,8,spades,0,1
69,7,diamonds,5,hearts,12,hearts,1,hearts,2,spades,11,hearts,8,spades,0,-1
70,1,clubs,12,hearts,5,hearts,9,diamonds,6,hearts,9,clubs,11,spades,1,-1
71,3,spades,5,clubs,5,hearts,9,diamonds,6,hearts,9,clubs,11,spades,2,1
72,7,clubs,6,hearts,11,diamonds,10,clubs,8,hearts,7,clubs,5,clubs,1,1
73,6,spades,13,diamonds,11,diamonds,10,clubs,8,hearts,7,clubs,5,clubs,0,-1
74,8,spades,10,diamonds,4,hearts,8,clubs,11,clubs,10,diamonds,13,hearts,2,1
75,8,hearts,7,clubs,4,hearts,8,clubs,11,clubs,10,diamonds,13,hearts,1,-1
76,8,spades,10,hearts,5,spades,1,diamonds,6,clubs,8,spades,7,hearts,1,-1
77,6,hearts,5,clubs,5,spades,1,diamonds,6,clubs,8,spades,7,hearts,2,1
78,11,diamonds,8,hearts,6,hearts,3,diamonds,12,spades,1,hearts,1,diamonds,1,1
79,2,hearts,10,clubs,6,hearts,3,diamonds,12,spades,1,hearts,1,diamonds,1,-1
80,2,hearts,1,hearts,8,diamonds,2,clubs,5,spades,2,hearts,13,spades,3,1
81,9,clubs,12,diamonds,8,diamonds,2,clubs,5,spades,2,hearts,13,spades,1,-1
82,1,spades,12,clubs,7,spades,13,clubs,7,diamonds,7,clubs,9,spades,3,1
83,1,diamonds,4,hearts,7,spades,13,clubs,7,diamonds,7,clubs,9,spades,3,-1
84,11,diamonds,2,diamonds,5,spades,8,diamonds,4,diamonds,13,hearts,13,clubs,1,-1
85,3,clubs,3,hearts,5,spades,8,diamonds,4,diamonds,13,hearts,13,clubs,2,1
86,10,diamonds,5,spades,1,clubs,12,hearts,8,diamonds,8,hearts,8,clubs,3,1
87,4,hearts,7,diamonds,1,clubs,12,hearts,8,diamonds,8,hearts,8,clubs,3,-1
88,1,clubs,10,diamonds,7,hearts,4,hearts,13,hearts,8,diamonds,5,spades,0,1
89,2,clubs,11,diamonds,7,hearts,4,hearts,13,hearts,8,diamonds,5,spades,0,-1
90,9,diamonds,10,diamonds,10,clubs,4,clubs,2,clubs,5,hearts,3,clubs,1,1
91,3,spades,8,hearts,10,clubs,4,clubs,2,clubs,5,hearts,3,clubs,1,-1
92,6,hearts,1,hearts,10,hearts,8,clubs,7,hearts,12,diamonds,13,spades,0,-1
93,5,hearts,13,diamonds,10,hearts,8,clubs,7,hearts,12,diamonds,13,spades,1,1
94,7,hearts,8,hearts,11,clubs,4,hearts,4,spades,4,hearts,12,hearts,5,-1
95,9,hearts,4,clubs,11,clubs,4,hearts,4,spades,4,hearts,12,hearts,7,1
96,5,hearts,12,diamonds,3,clubs,12,spades,4,spades,13,spades,9,diamonds,1,1
97,6,hearts,11,clubs,3,clubs,12,spades,4,spades,13,spades,9,diamonds,0,-1
98,11,diamonds,8,clubs,2,diamonds,7,clubs,13,clubs,2,clubs,4,clubs,5,1
99,10,diamonds,1,clubs,2,diamonds,7,clubs,13,clubs,2,clubs,4,clubs,5,-1
100,5,clubs,6,diamonds,5,hearts,11,diamonds,7,clubs,3,clubs,13,clubs,1,1
101,11,diamonds,2,diamonds,5,hearts,11,diamonds,7,clubs,3,clubs,13,clubs,1,-1
102,4,hearts,6,diamonds,4,clubs,2,clubs,3,spades,7,hearts,1,spades,1,1
103,13,diamonds,11,diamonds,4,clubs,2,clubs,3,spades,7,hearts,1,spades,0,-1
104,10,clubs,11,spades,4,clubs,5,diamonds,6,hearts,3,spades,10,hearts,1,1
105,4,diamonds,7,spades,4,clubs,5,diamonds,6,hearts,3,spades,10,hearts,1,-1
106,6,spades,2,hearts,5,diamonds,3,clubs,13,hearts,3,clubs,1,diamonds,1,1
107,2,spades,10,clubs,5,diamonds,3,clubs,13,hearts,3,clubs,1,diamonds,1,-1
108,1,spades,3,hearts,2,clubs,4,clubs,7,hearts,6,spades,12,hearts,0,1
109,8,hearts,3,clubs,2,clubs,4,clubs,7,hearts,6,spades,12,hearts,0,-1
110,5,diamonds,5,spades,8,diamonds,10,hearts,13,hearts,8,hearts,7,hearts,2,1
111,10,spades,9,diamonds,8,diamonds,10,hearts,13,hearts,8,hearts,7,hearts,2,-1
112,11,spades,11,clubs,10,hearts,10,spades,3,hearts,4,diamonds,7,spades,2,-1
113,10,diamonds,6,spades,10,hearts,10,spades,3,hearts,4,diamonds,7,spades,3,1
114,9,hearts,5,clubs,11,diamonds,1,spades,1,clubs,12,clubs,3,diamonds,1,1
115,2,clubs,6,clubs,11,diamonds,1,spades,1,clubs,12,clubs,3,diamonds,1,-1
116,10,diamonds,1,clubs,6,diamonds,9,clubs,1,diamonds,13,diamonds,13,spades,2,1
117,5,spades,8,clubs,6,diamonds,9,clubs,1,diamonds,13,diamonds,13,spades,1,-1
118,2,diamonds,6,diamonds,5,clubs,1,hearts,12,diamonds,4,spades,4,diamonds,1,-1
119,4,diamonds,13,hearts,5,clubs,1,hearts,12,diamonds,4,spades,4,diamonds,3,1
120,7,clubs,6,diamonds,9,spades,12,clubs,2,diamonds,4,clubs,6,clubs,1,1
121,7,clubs,8,spades,9,spades,12,clubs,2,diamonds,4,clubs,6,clubs,0,-1
122,10,hearts,6,clubs,5,clubs,7,diamonds,4,diamonds,5,clubs,13,spades,1,-1
123,6,clubs,13,diamonds,5,clubs,7,diamonds,4,diamonds,5,clubs,13,spades,2,1
124,13,hearts,2,hearts,1,spades,8,clubs,5,diamonds,11,hearts,7,clubs,0,-1
125,8,diamonds,13,spades,1,spades,8,clubs,5,diamonds,11,hearts,7,clubs,1,1
126,10,hearts,8,hearts,7,hearts,4,diamonds,7,diamonds,2,diamonds,11,clubs,1,1
127,1,clubs,12,clubs,7,hearts,4,diamonds,7,diamonds,2,diamonds,11,clubs,1,-1
128,10,clubs,8,hearts,4,clubs,13,clubs,3,diamonds,3,diamonds,11,spades,1,-1
129,12,hearts,13,diamonds,4,clubs,13,clubs,3,diamonds,3,diamonds,11,spades,2,1
130,5,diamonds,2,spades,4,clubs,3,hearts,2,diamonds,4,hearts,11,clubs,2,1
131,6,diamonds,6,hearts,4,clubs,3,hearts,2,diamonds,4,hearts,11,clubs,2,-1
132,8,clubs,3,diamonds,3,diamonds,1,hearts,8,spades,7,clubs,7,hearts,2,-1
133,7,clubs,1,clubs,3,diamonds,1,hearts,8,spades,7,clubs,7,hearts,6,1
134,3,diamonds,4,clubs,8,hearts,2,clubs,7,hearts,7,diamonds,11,spades,1,-1
135,7,hearts,9,hearts,8,hearts,2,clubs,7,hearts,7,diamonds,11,spades,3,1
136,8,spades,11,spades,7,clubs,6,diamonds,7,spades,3,clubs,10,diamonds,1,-1
137,3,diamonds,9,spades,7,clubs,6,diamonds,7,spades,3,clubs,10,diamonds,2,1
138,10,diamonds,10,spades,1,spades,10,spades,3,hearts,7,spades,12,hearts,3,1
139,13,diamonds,12,diamonds,1,spades,10,spades,3,hearts,7,spades,12,hearts,1,-1
140,8,hearts,1,clubs,2,clubs,6,hearts,4,spades,1,spades,1,spades,3,1
141,3,clubs,3,diamonds,2,clubs,6,hearts,4,spades,1,spades,1,spades,2,-1
142,8,diamonds,3,hearts,5,hearts,12,diamonds,13,clubs,1,diamonds,12,clubs,1,-1
143,6,hearts,1,hearts,5,hearts,12,diamonds,13,clubs,1,diamonds,12,clubs,2,1
144,7,diamonds,6,spades,5,diamonds,6,diamonds,12,diamonds,4,clubs,6,hearts,3,1
145,7,hearts,4,clubs,5,diamonds,6,diamonds,12,diamonds,4,clubs,6,hearts,2,-1
146,12,spades,9,diamonds,3,diamonds,7,clubs,11,hearts,5,hearts,13,hearts,0,1
147,4,diamonds,2,spades,3,diamonds,7,clubs,11,hearts,5,hearts,13,hearts,0,-1
148,9,clubs,1,hearts,7,clubs,5,hearts,2,spades,13,hearts,8,diamonds,0,-1
149,2,clubs,3,clubs,7,clubs,5,hearts,2,spades,13,hearts,8,diamonds,1,1
150,4,hearts,7,diamonds,4,hearts,4,spades,11,hearts,4,diamonds,5,diamonds,7,1
151,6,hearts,13,spades,4,hearts,4,spades,11,hearts,4,diamonds,5,diamonds,3,-1
152,1,hearts,4,spades,7,clubs,5,spades,9,diamonds,4,clubs,9,diamonds,2,1
153,13,hearts,12,clubs,7,clubs,5,spades,9,diamonds,4,clubs,9,diamonds,1,-1
154,13,spades,4,clubs,2,diamonds,2,spades,5,diamonds,10,hearts,6,diamonds,1,-1
155,1,clubs,1,diamonds,2,diamonds,2,spades,5,diamonds,10,hearts,6,diamonds,2,1
156,10,diamonds,6,hearts,7,clubs,10,hearts,8,clubs,1,clubs,8,clubs,2,-1
157,6,clubs,6,spades,7,clubs,10,hearts,8,clubs,1,clubs,8,clubs,5,1
158,1,spades,11,diamonds,12,diamonds,11,clubs,1,hearts,13,clubs,2,spades,2,1
159,8,clubs,6,diamonds,12,diamonds,11,clubs,1,hearts,13,clubs,2,spades,0,-1
160,9,spades,12,hearts,5,spades,12,diamonds,9,spades,4,diamonds,4,diamonds,2,-1
161,12,diamonds,6,diamonds,5,spades,12,diamonds,9,spades,4,diamonds,4,diamonds,5,1
162,13,spades,9,clubs,4,spades,8,hearts,7,clubs,8,hearts,5,clubs,1,1
163,13,diamonds,2,spades,4,spades,8,hearts,7,clubs,8,hearts,5,clubs,1,-1
164,3,clubs,8,diamonds,3,hearts,13,spades,4,diamonds,3,diamonds,2,hearts,3,1
165,10,spades,9,diamonds,3,hearts,13,spades,4,diamonds,3,diamonds,2,hearts,1,-1
166,12,diamonds,4,clubs,5,clubs,8,hearts,5,spades,3,spades,1,diamonds,1,1
167,6,spades,2,hearts,5,clubs,8,hearts,5,spades,3,spades,1,diamonds,1,-1
168,5,hearts,1,spades,4,hearts,7,diamonds,1,diamonds,6,diamonds,3,hearts,1,1
169,7,hearts,9,hearts,4,hearts,7,diamonds,1,diamonds,6,diamonds,3,hearts,1,-1
170,13,hearts,11,diamonds,10,hearts,12,hearts,13,spades,12,spades,13,diamonds,6,1
171,5,hearts,8,diamonds,10,hearts,12,hearts,13,spades,12,spades,13,diamonds,2,-1
172,6,diamonds,2,diamonds,8,hearts,1,spades,11,spades,6,hearts,10,spades,1,-1
173,1,clubs,6,spades,8,hearts,1,spades,11,spades,6,hearts,10,spades,2,1
174,13,spades,8,hearts,7,hearts,6,diamonds,8,clubs,6,clubs,6,clubs,6,1
175,8,diamonds,5,spades,7,hearts,6,diamonds,8,clubs,6,clubs,6,clubs,6,-1
176,6,diamonds,1,clubs,6,spades,5,diamonds,5,spades,2,clubs,13,clubs,2,1
177,2,spades,3,hearts,6,spades,5,diamonds,5,spades,2,clubs,13,clubs,2,-1
178,8,diamonds,12,spades,5,hearts,4,diamonds,11,clubs,3,hearts,9,hearts,0,-1
179,12,diamonds,3,hearts,5,hearts,4,diamonds,11,clubs,3,hearts,9,hearts,1,1
180,13,hearts,4,spades,4,hearts,10,spades,8,clubs,8,spades,3,clubs,2,1
181,3,spades,2,clubs,4,hearts,10,spades,8,clubs,8,spades,3,clubs,2,-1
182,11,clubs,2,clubs,7,spades,4,diamonds,1,spades,10,spades,3,diamonds,0,1
183,8,diamonds,2,spades,7,spades,4,diamonds,1,spades,10,spades,3,diamonds,0,-1
184,11,diamonds,8,clubs,2,diamonds,8,diamonds,4,clubs,2,hearts,1,hearts,2,1
185,8,diamonds,4,spades,2,diamonds,8,diamonds,4,clubs,2,hearts,1,hearts,2,-1
186,1,diamonds,9,spades,6,spades,5,clubs,4,diamonds,1,diamonds,11,spades,1,-1
187,5,hearts,11,diamonds,6,spades,5,clubs,4,diamonds,1,diamonds,11,spades,2,1
188,4,diamonds,7,diamonds,12,clubs,9,spades,11,hearts,3,spades,13,spades,0,-1
189,13,hearts,13,clubs,12,clubs,9,spades,11,hearts,3,spades,13,spades,3,1
190,6,diamonds,5,clubs,8,diamonds,7,clubs,11,hearts,2,clubs,1,diamonds,0,-1
191,2,diamonds,13,diamonds,8,diamonds,7,clubs,11,hearts,2,clubs,1,diamonds,1,1
192,12,diamonds,11,spades,6,clubs,3,spades,9,spades,1,diamonds,9,diamonds,1,-1
193,9,spades,10,hearts,6,clubs,3,spades,9,spades,1,diamonds,9,diamonds,3,1
194,13,clubs,6,clubs,7,hearts,3,spades,8,hearts,12,hearts,9,clubs,0,-1
195,9,diamonds,5,clubs,7,hearts,3,spades,8,hearts,12,hearts,9,clubs,1,1
196,8,clubs,11,clubs,3,diamonds,8,hearts,2,spades,5,diamonds,8,diamonds,3,1
197,13,spades,8,spades,3,diamonds,8,hearts,2,spades,5,diamonds,8,diamonds,3,-1
198,1,spades,6,clubs,4,diamonds,6,diamonds,7,hearts,6,hearts,7,diamonds,6,1
199,1,clubs,11,clubs,4,diamonds,6,diamonds,7,hearts,6,hearts,7,diamonds,2,-1
200,8,clubs,3,hearts,8,hearts,2,hearts,10,clubs,12,clubs,8,diamonds,3,1
201,1,hearts,6,hearts,8,hearts,2,hearts,10,clubs,12,clubs,8,diamonds,1,-1
202,2,diamonds,5,clubs,1,spades,13,clubs,11,hearts,6,diamonds,5,clubs,1,-1
203,1,hearts,5,hearts,1,spades,13,clubs,11,hearts,6,diamonds,5,clubs,2,1
204,2,diamonds,4,diamonds,11,diamonds,10,diamonds,12,hearts,2,spades,4,clubs,2,1
205,1,hearts,1,diamonds,11,diamonds,10,diamonds,12,hearts,2,spades,4,clubs,1,-1
206,7,hearts,13,hearts,11,clubs,2,clubs,12,diamonds,9,hearts,12,hearts,1,1
207,4,spades,3,hearts,11,clubs,2,clubs,12,diamonds,9,hearts,12,hearts,1,-1
208,3,hearts,9,clubs,4,clubs,3,clubs,8,hearts,3,hearts,13,spades,3,1
209,2,hearts,4,hearts,4,clubs,3,clubs,8,hearts,3,hearts,13,spades,2,-1
210,1,diamonds,10,hearts,7,diamonds,4,clubs,5,hearts,3,clubs,6,clubs,0,-1
211,6,clubs,1,hearts,7,diamonds,4,clubs,5,hearts,3,clubs,6,clubs,1,1
212,12,hearts,6,spades,5,hearts,12,hearts,6,hearts,4,clubs,6,spades,6,1
213,1,diamonds,4,clubs,5,hearts,12,hearts,6,hearts,4,clubs,6,spades,2,-1
214,12,hearts,12,clubs,9,diamonds,6,spades,1,diamonds,6,hearts,5,spades,2,-1
215,13,hearts,6,diamonds,9,diamonds,6,spades,1,diamonds,6,hearts,5,spades,3,1
216,13,diamonds,6,clubs,6,clubs,7,spades,5,hearts,3,spades,7,clubs,2,-1
217,10,hearts,7,diamonds,6,clubs,7,spades,5,hearts,3,spades,7,clubs,3,1
218,10,spades,2,clubs,6,clubs,2,hearts,8,diamonds,11,clubs,3,clubs,1,1
219,12,clubs,11,hearts,6,clubs,2,hearts,8,diamonds,11,clubs,3,clubs,1,-1
220,1,diamonds,12,hearts,5,hearts,6,clubs,5,spades,9,diamonds,3,diamonds,1,-1
221,11,diamonds,3,spades,5,hearts,6,clubs,5,spades,9,diamonds,3,diamonds,2,1
222,4,spades,3,diamonds,12,diamonds,2,clubs,7,spades,10,hearts,3,diamonds,1,1
223,7,clubs,11,spades,12,diamonds,2,clubs,7,spades,10,hearts,3,diamonds,1,-1
224,12,hearts,2,clubs,7,diamonds,8,clubs,7,spades,4,clubs,2,spades,2,1
225,5,hearts,2,clubs,7,diamonds,8,clubs,7,spades,4,clubs,2,spades,2,-1
226,9,hearts,7,hearts,6,hearts,9,hearts,1,diamonds,7,clubs,12,spades,2,1
227,9,clubs,8,spades,6,hearts,9,hearts,1,diamonds,7,clubs,12,spades,1,-1
228,7,spades,6,diamonds,7,diamonds,13,hearts,5,clubs,13,hearts,3,hearts,2,1
229,4,spades,1,spades,7,diamonds,13,hearts,5,clubs,13,hearts,3,hearts,1,-1
230,8,diamonds,7,clubs,2,spades,8,clubs,10,clubs,6,clubs,1,diamonds,1,1
231,4,clubs,13,diamonds,2,spades,8,clubs,10,clubs,6,clubs,1,diamonds,0,-1
232,3,hearts,10,diamonds,9,hearts,1,clubs,9,spades,1,spades,5,hearts,2,1
233,11,spades,2,hearts,9,hearts,1,clubs,9,spades,1,spades,5,hearts,2,-1
234,9,diamonds,5,spades,3,diamonds,7,hearts,3,spades,12,diamonds,1,hearts,1,-1
235,10,spades,10,clubs,3,diamonds,7,hearts,3,spades,12,diamonds,1,hearts,2,1
236,1,hearts,5,diamonds,5,spades,7,clubs,12,diamonds,8,clubs,5,clubs,3,1
237,10,diamonds,13,hearts,5,spades,7,clubs,12,diamonds,8,clubs,5,clubs,1,-1
238,9,clubs,7,spades,10,clubs,10,hearts,5,spades,2,clubs,10,hearts,3,1
239,8,clubs,12,hearts,10,clubs,10,hearts,5,spades,2,clubs,10,hearts,3,-1
240,3,hearts,11,spades,3,diamonds,4,hearts,7,spades,7,spades,3,diamonds,6,1
241,9,hearts,10,diamonds,3,diamonds,4,hearts,7,spades,7,spades,3,diamonds,2,-1
242,7,diamonds,3,spades,2,diamonds,11,spades,6,hearts,10,spades,10,hearts,1,-1
243,11,diamonds,12,spades,2,diamonds,11,spades,6,hearts,10,spades,10,hearts,2,1
244,12,diamonds,11,spades,8,diamonds,8,clubs,5,diamonds,10,diamonds,2,spades,1,1
245,7,hearts,9,diamonds,8,diamonds,8,clubs,5,diamonds,10,diamonds,2,spades,1,-1
246,2,diamonds,9,diamonds,12,diamonds,10,spades,13,hearts,12,hearts,7,spades,1,1
247,9,clubs,3,diamonds,12,diamonds,10,spades,13,hearts,12,hearts,7,spades,1,-1
248,5,hearts,11,spades,2,clubs,4,hearts,11,spades,11,clubs,4,clubs,6,1
249,1,spades,11,diamonds,2,clubs,4,hearts,11,spades,11,clubs,4,clubs,6,-1
250,4,clubs,10,hearts,8,diamonds,12,clubs,2,spades,1,diamonds,10,hearts,1,1
251,3,clubs,3,diamonds,8,diamonds,12,clubs,2,spades,1,diamonds,10,hearts,1,-1
252,10,diamonds,1,spades,3,spades,10,diamonds,7,spades,8,spades,3,spades,5,1
253,8,diamonds,9,spades,3,spades,10,diamonds,7,spades,8,spades,3,spades,5,-1
254,6,spades,5,hearts,8,hearts,1,hearts,8,clubs,4,clubs,9,clubs,1,-1
255,1,hearts,10,spades,8,hearts,1,hearts,8,clubs,4,clubs,9,clubs,2,1
256,11,clubs,1,clubs,10,spades,4,hearts,12,diamonds,5,spades,10,diamonds,1,1
257,3,hearts,7,spades,10,spades,4,hearts,12,diamonds,5,spades,10,diamonds,1,-1
258,4,diamonds,8,spades,4,spades,10,spades,8,spades,5,hearts,10,clubs,2,1
259,4,hearts,1,clubs,4,spades,10,spades,8,spades,5,hearts,10,clubs,2,-1
260,9,spades,1,hearts,13,clubs,9,hearts,10,hearts,3,clubs,6,clubs,1,-1
261,6,hearts,10,spades,13,clubs,9,hearts,10,hearts,3,clubs,6,clubs,2,1
262,3,hearts,5,diamonds,13,hearts,9,diamonds,11,clubs,7,diamonds,3,hearts,1,1
263,8,diamonds,2,diamonds,13,hearts,9,diamonds,11,clubs,7,diamonds,3,hearts,0,-1
264,1,spades,13,hearts,9,spades,10,diamonds,13,clubs,9,diamonds,10,clubs,2,1
265,4,diamonds,1,diamonds,9,spades,10,diamonds,13,clubs,9,diamonds,10,clubs,2,-1
266,5,clubs,6,spades,1,diamonds,13,hearts,4,spades,9,diamonds,3,clubs,0,-1
267,4,diamonds,8,spades,1,diamonds,13,hearts,4,spades,9,diamonds,3,clubs,1,1
268,12,clubs,11,spades,5,spades,7,diamonds,7,spades,13,clubs,2,diamonds,1,-1
269,12,clubs,5,clubs,5,spades,7,diamonds,7,spades,13,clubs,2,diamonds,2,1
270,4,spades,9,diamonds,10,clubs,5,hearts,8,hearts,7,spades,2,spades,0,-1
271,7,diamonds,6,hearts,10,clubs,5,hearts,8,hearts,7,spades,2,spades,1,1
272,8,hearts,9,clubs,7,spades,3,spades,4,hearts,8,hearts,1,diamonds,1,1
273,1,spades,9,clubs,7,spades,3,spades,4,hearts,8,hearts,1,diamonds,1,-1
274,9,hearts,6,hearts,10,spades,9,diamonds,3,clubs,9,clubs,4,clubs,3,1
275,6,diamonds,8,diamonds,10,spades,9,diamonds,3,clubs,9,clubs,4,clubs,1,-1
276,11,diamonds,12,clubs,2,hearts,11,diamonds,12,spades,10,spades,9,clubs,2,1
277,11,clubs,4,hearts,2,hearts,11,diamonds,12,spades,10,spades,9,clubs,1,-1
278,5,spades,2,spades,2,diamonds,8,diamonds,1,clubs,8,hearts,11,diamonds,2,1
279,4,diamonds,1,spades,2,diamonds,8,diamonds,1,clubs,8,hearts,11,diamonds,2,-1
280,12,clubs,13,diamonds,9,hearts,3,hearts,7,hearts,7,clubs,7,hearts,3,-1
281,2,hearts,12,diamonds,9,hearts,3,hearts,7,hearts,7,clubs,7,hearts,5,1
282,8,hearts,11,hearts,9,spades,1,spades,6,spades,6,diamonds,7,spades,1,1
283,12,clubs,10,clubs,9,spades,1,spades,6,spades,6,diamonds,7,spades,1,-1
284,11,diamonds,12,spades,3,hearts,9,clubs,5,diamonds,4,diamonds,6,hearts,0,-1
